landmark_id,landmark_name,folder_name,image_count
161,Mosque of Saint Ibrahim El-Desouky,Mosque_of_Saint_Ibrahim_El-Desouky,26
162,Mosque of Sultan Abu al-Ila,Mosque_of_Sultan_Abu_al-Ila,1
163,Mosque of Sultan al-Muayyad,Mosque_of_Sultan_al-Muayyad,7
164,Mosque of Sultan al-Zahir Baybars,Mosque_of_Sultan_al-Zahir_Baybars,8
165,Muhammad Ali Mosque,Muhammad_Ali_Mosque,10
166,Muizz Street,Muizz_Street,92
167,Museum of Constantine P. Cavafy,Museum_of_Constantine_P._Cavafy,3
168,"Museum of Islamic Art, Cairo","Museum_of_Islamic_Art,_Cairo",4
169,Na'ama Bay,Na'ama_Bay,83
170,Nabq Protected Area,Nabq_Protected_Area,63
171,New Kalabsha,New_Kalabsha,4
172,Nilometer in Rhoda Island,Nilometer_in_Rhoda_Island,8
173,"Nubia Museum, Aswan","Nubia_Museum,_Aswan",9
174,Nyuserre sun temple,Nyuserre_sun_temple,6
175,Orman Garden,Orman_Garden,37
176,Osireion,Osireion,18
177,Paromeos Monastery,Paromeos_Monastery,9
178,Petrified Forest near Maadi,Petrified_Forest_near_Maadi,2
179,Pharaon Island,Pharaon_Island,8
180,"Pompey's Pillar, Alexandria","Pompey's_Pillar,_Alexandria",31
181,Port Said Lighthouse,Port_Said_Lighthouse,7
182,Port Tewfik Memorial,Port_Tewfik_Memorial,3
183,Ptolemaic Temple of Hathor in Deir el-Medina,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,54
184,Pyramid of Ahmose,Pyramid_of_Ahmose,9
185,Pyramid of Amenemhat I,Pyramid_of_Amenemhat_I,5
186,Pyramid of Amenemhat III in Hawara,Pyramid_of_Amenemhat_III_in_Hawara,19
187,Pyramid of Ameni Qemau,Pyramid_of_Ameni_Qemau,1
188,Pyramid of Baka,Pyramid_of_Baka,1
189,Pyramid of Djedefra,Pyramid_of_Djedefra,19
190,Pyramid of Djedkare Isesi,Pyramid_of_Djedkare_Isesi,12
191,Pyramid of Djoser,Pyramid_of_Djoser,76
192,Pyramid of Khafra,Pyramid_of_Khafra,73
193,Pyramid of Khendjer,Pyramid_of_Khendjer,2
194,Pyramid of Khentkaus II,Pyramid_of_Khentkaus_II,3
195,Pyramid of Menkaure,Pyramid_of_Menkaure,29
196,Pyramid of Merenre Nemtyemsaf I,Pyramid_of_Merenre_Nemtyemsaf_I,1
197,Pyramid of Neferefre,Pyramid_of_Neferefre,4
198,Pyramid of Neferirkare,Pyramid_of_Neferirkare,7
199,Pyramid of Nyuserre Ini,Pyramid_of_Nyuserre_Ini,12
200,Pyramid of Pepi I,Pyramid_of_Pepi_I,4
201,Pyramid of Pepi II,Pyramid_of_Pepi_II,3
202,Pyramid of Qakare Ibi,Pyramid_of_Qakare_Ibi,1
203,Pyramid of Sahure,Pyramid_of_Sahure,11
204,Pyramid of Seila,Pyramid_of_Seila,1
205,Pyramid of Senusret I,Pyramid_of_Senusret_I,2
206,Pyramid of Senusret II,Pyramid_of_Senusret_II,14
207,Pyramid of Teti,Pyramid_of_Teti,7
208,Pyramid of Unas,Pyramid_of_Unas,26
209,Pyramid of Userkaf,Pyramid_of_Userkaf,6
210,Qaed Ibrahim Mosque,Qaed_Ibrahim_Mosque,18
211,Qalawun complex,Qalawun_complex,4
212,Qasr al-Nil Bridge,Qasr_al-Nil_Bridge,19
213,Qasr Qarun,Qasr_Qarun,21
214,Qubbet el-Hawa,Qubbet_el-Hawa,53
215,Qurnet Murai,Qurnet_Murai,4
216,Rahmanyia island,Rahmanyia_island,1
217,Ramesseum,Ramesseum,55
218,Ras el-Tin Palace,Ras_el-Tin_Palace,1
219,Ras Muhammad,Ras_Muhammad,19
220,Red Monastery,Red_Monastery,3
221,Red Pyramid,Red_Pyramid,27
222,Relations of Egypt and Italy,Relations_of_Egypt_and_Italy,1
223,Rhoda Island,Rhoda_Island,9
224,Sabil of Abd al-Rahman Katkhuda,Sabil_of_Abd_al-Rahman_Katkhuda,26
225,Sadat museum,Sadat_museum,7
226,Saint Barbara Church in Coptic Cairo,Saint_Barbara_Church_in_Coptic_Cairo,3
227,"Saint Catherine's Monastery, Mount Sinai","Saint_Catherine's_Monastery,_Mount_Sinai",84
228,Saint George Church in Coptic Cairo,Saint_George_Church_in_Coptic_Cairo,64
229,"Saint Mark's Coptic Orthodox Cathedral, Cairo","Saint_Mark's_Coptic_Orthodox_Cathedral,_Cairo",9
230,Saint Mark Coptic Orthodox Church (Heliopolis),Saint_Mark_Coptic_Orthodox_Church_(Heliopolis),8
231,"Saints Sergius and Bacchus Church, Cairo","Saints_Sergius_and_Bacchus_Church,_Cairo",8
232,Sakakini Palace,Sakakini_Palace,11
233,San Stefano Grand Plaza,San_Stefano_Grand_Plaza,4
234,Saqqara,Saqqara,7
235,Sayeda Aisha Mosque,Sayeda_Aisha_Mosque,3
236,Sehel Island,Sehel_Island,5
237,Sha'ar Hashamayim Synagogue (Cairo),Sha'ar_Hashamayim_Synagogue_(Cairo),2
238,Sha'b Abu el-Nuhas,Sha'b_Abu_el-Nuhas,1
239,"Shalalat Garden, Alexandria","Shalalat_Garden,_Alexandria",5
240,Shepheard's Hotel,Shepheard's_Hotel,2
241,Siwa,Siwa,134
242,Sohag Stadium,Sohag_Stadium,1
243,Soma Bay,Soma_Bay,29
244,Speos Artemidos,Speos_Artemidos,18
245,Sphinx of Memphis,Sphinx_of_Memphis,28
246,"St. Catherine's Cathedral, Alexandria","St._Catherine's_Cathedral,_Alexandria",7
247,Suez Canal Bridge,Suez_Canal_Bridge,16
248,Sulayman Agha al-Silahdar Mosque,Sulayman_Agha_al-Silahdar_Mosque,5
249,Sulayman Pasha Mosque,Sulayman_Pasha_Mosque,6
250,Sultan Qaytbay Complex,Sultan_Qaytbay_Complex,6
251,Synagogue of Moses Maimonides,Synagogue_of_Moses_Maimonides,5
252,Syrian Monastery,Syrian_Monastery,8
253,Temple of Derr,Temple_of_Derr,11
254,Temple of Hibis,Temple_of_Hibis,40
255,Temple of Isis in Deir el-Shelwit,Temple_of_Isis_in_Deir_el-Shelwit,4
256,Temple of Isis in Philae,Temple_of_Isis_in_Philae,57
257,Temple of Khonsu in Karnak,Temple_of_Khonsu_in_Karnak,58
258,Temple of Kom Ombo,Temple_of_Kom_Ombo,98
259,Temple of Seti I in Abydos,Temple_of_Seti_I_in_Abydos,30
260,Theban Necropolis,Theban_Necropolis,20
261,"Tirbana mosque, Alexandria","Tirbana_mosque,_Alexandria",2
262,Tomb of Hetepheres,Tomb_of_Hetepheres,3
263,Tomb of Kheruef,Tomb_of_Kheruef,7
264,Tomb of Nakht TT52,Tomb_of_Nakht_TT52,20
265,Tomb of Nefertari,Tomb_of_Nefertari,10
266,Tomb of Unknown Soldier in Cairo,Tomb_of_Unknown_Soldier_in_Cairo,19
267,Umm el-Qaab,Umm_el-Qaab,1
268,Umm Kulthum Museum,Umm_Kulthum_Museum,3
269,Unfinished obelisk in Aswan,Unfinished_obelisk_in_Aswan,60
270,Userkaf sun temple,Userkaf_sun_temple,1
271,Valley of the Golden Mummies,Valley_of_the_Golden_Mummies,2
272,Valley of the Queens,Valley_of_the_Queens,12
273,Wadi Degla,Wadi_Degla,67
274,Wadi el-Raiyan,Wadi_el-Raiyan,27
275,Wadi el Gemal National Park,Wadi_el_Gemal_National_Park,27
276,Wadi Hammamat,Wadi_Hammamat,4
277,White Monastery,White_Monastery,21
278,White Pyramid of Amenemhat II,White_Pyramid_of_Amenemhat_II,2
279,WV22,WV22,2
